symbol,date,open,high,low,close,volume,adjusted
MGLU3.SA,2015-03-01,0.189062,0.193437,0.151562,0.159062,550441600,0.148769
MGLU3.SA,2015-04-01,0.159062,0.177812,0.154062,0.157187,430601600,0.147015
MGLU3.SA,2015-05-01,0.156562,0.178125,0.130625,0.13375,491609600,0.127749
MGLU3.SA,2015-06-01,0.133125,0.137812,0.109062,0.110312,340169600,0.105363
MGLU3.SA,2015-07-01,0.110312,0.122812,0.074375,0.112187,1135440000,0.107153
MGLU3.SA,2015-08-01,0.109062,0.112187,0.078437,0.079687,555772800,0.076112
MGLU3.SA,2015-09-01,0.08,0.08375,0.055,0.05625,483145600,0.053726
MGLU3.SA,2015-10-01,0.053945,0.063515,0.045078,0.046093,1430553600,0.044025
MGLU3.SA,2015-11-01,0.046093,0.048437,0.034492,0.034492,1299609600,0.032944
MGLU3.SA,2015-12-01,0.035507,0.070312,0.03039,0.068945,2797824000,0.065852
MGLU3.SA,2016-01-01,0.068945,0.072578,0.049218,0.055273,1044889600,0.052793
MGLU3.SA,2016-02-01,0.055273,0.083554,0.049453,0.076953,695296000,0.0735
MGLU3.SA,2016-03-01,0.077929,0.126171,0.075898,0.114257,1153792000,0.109131
MGLU3.SA,2016-04-01,0.115898,0.136718,0.104492,0.125117,643865600,0.119503
MGLU3.SA,2016-05-01,0.126562,0.143359,0.111328,0.135781,663270400,0.129689
MGLU3.SA,2016-06-01,0.134648,0.151171,0.131093,0.15039,1084595200,0.143642
MGLU3.SA,2016-07-01,0.150898,0.179687,0.149609,0.179687,660300800,0.171625
MGLU3.SA,2016-08-01,0.180273,0.248398,0.167968,0.236328,1257011200,0.225725
MGLU3.SA,2016-09-01,0.23621,0.298828,0.23125,0.298828,813312000,0.28542
MGLU3.SA,2016-10-01,0.30082,0.391406,0.262187,0.361171,958361600,0.344966
MGLU3.SA,2016-11-01,0.361328,0.40625,0.34375,0.40625,533708800,0.388023
MGLU3.SA,2016-12-01,0.402343,0.421875,0.377226,0.414726,401459200,0.396118
MGLU3.SA,2017-01-01,0.410273,0.514453,0.367851,0.49996,503372800,0.477528
MGLU3.SA,2017-02-01,0.503906,0.851562,0.470546,0.812929,534604800,0.776455
MGLU3.SA,2017-03-01,0.829453,0.851562,0.644687,0.691796,603315200,0.660757
MGLU3.SA,2017-04-01,0.697304,0.924843,0.660156,0.870273,392601600,0.831226
MGLU3.SA,2017-05-01,0.870273,1.10332,0.863125,0.980468,612172800,0.941046
MGLU3.SA,2017-06-01,0.990039,1.022851,0.882812,1,529766400,0.959793
MGLU3.SA,2017-07-01,0.998046,1.490156,0.998046,1.433125,790528000,1.375504
MGLU3.SA,2017-08-01,1.503867,2.226562,1.414492,2.21875,1253888000,2.129541
MGLU3.SA,2017-09-01,2.261718,2.728125,1.988125,2.319062,1786121600,2.22582
MGLU3.SA,2017-10-01,2.370312,2.521875,1.885,1.992187,1623366400,1.912088
MGLU3.SA,2017-11-01,2.15625,2.171875,1.484375,1.775625,1764726400,1.704233
MGLU3.SA,2017-12-01,1.78125,2.506875,1.72625,2.506875,1237676800,2.406082
MGLU3.SA,2018-01-01,2.506875,2.7025,2.331562,2.6425,714320000,2.551355
MGLU3.SA,2018-02-01,2.634375,2.9625,2.256562,2.845312,1005756800,2.747171
MGLU3.SA,2018-03-01,2.845312,3.1775,2.69375,3.059687,1012038400,2.954152
MGLU3.SA,2018-04-01,3.078125,3.367812,2.875625,3.334687,863395200,3.219667
MGLU3.SA,2018-05-01,3.334687,3.578125,2.990625,3.388125,1708073600,3.280283
MGLU3.SA,2018-06-01,3.465,4.046562,2.97875,3.999687,1551126400,3.87238
MGLU3.SA,2018-07-01,3.975,4.233437,3.546562,4.133125,901907200,4.00157
MGLU3.SA,2018-08-01,4.126562,4.640312,3.95625,4.070312,1083481600,3.940757
MGLU3.SA,2018-09-01,4.030937,4.03125,3.575312,3.827812,816956800,3.705975
MGLU3.SA,2018-10-01,3.857812,5.4375,3.78125,5.275,1159712000,5.1071
MGLU3.SA,2018-11-01,5.3125,5.417187,4.471875,5.144687,1056108800,4.980935
MGLU3.SA,2018-12-01,5.25,5.71125,5.0125,5.658437,514524800,5.478332
MGLU3.SA,2019-01-01,5.658437,5.812187,5.020312,5.595937,692409600,5.417821
MGLU3.SA,2019-02-01,5.59375,5.66125,4.944062,5.420625,684985600,5.265326
MGLU3.SA,2019-03-01,5.465312,5.745,5.161562,5.401562,602300800,5.246809
MGLU3.SA,2019-04-01,5.436562,5.976875,4.95375,5.976875,670448000,5.805639
MGLU3.SA,2019-05-01,5.976875,6.322187,5.158437,6.125,827353600,5.963025
MGLU3.SA,2019-06-01,6.15625,6.749687,5.875937,6.5975,694377600,6.423029
MGLU3.SA,2019-07-01,6.625,8.4825,6.53125,8.24125,882313600,8.02331
MGLU3.SA,2019-08-01,8.421875,9.665,8.245,9.0725,1064901600,8.832578
MGLU3.SA,2019-09-01,9.125,9.4475,7.9075,9.26,797850000,9.015121
MGLU3.SA,2019-10-01,9.2875,11.16,9.0125,11.16,996724400,10.864873
MGLU3.SA,2019-11-01,11.2375,12.1975,10.425,11.2575,1221340000,10.980845
MGLU3.SA,2019-12-01,11.3625,12.47,11,11.925,722949200,11.63194
MGLU3.SA,2020-01-01,11.925,14.5225,11.925,13.95,749442000,13.607175
MGLU3.SA,2020-02-01,14.12,14.98,11.805,12.63,817970000,12.328866
MGLU3.SA,2020-03-01,12.675,13.7,6.25,9.7475,1991784400,9.515093
MGLU3.SA,2020-04-01,9.35,13.2225,8.3325,12.425,1307855200,12.128754
MGLU3.SA,2020-05-01,12.425,17.032499,11.8275,16.0875,1145781200,15.97767
MGLU3.SA,2020-06-01,16,18.225,14.63,17.9125,1211122400,17.790211
MGLU3.SA,2020-07-01,17.995001,22.375,17.325001,20.1775,1017780000,20.039747
MGLU3.SA,2020-08-01,20.3025,23.645,19.799999,23.305,1037493200,23.172094
MGLU3.SA,2020-09-01,23.549999,24.105,20.8675,22.299999,1095996800,22.276798
MGLU3.SA,2020-10-01,22.334999,27.25,21.9,24.629999,920493100,24.604374
MGLU3.SA,2020-11-01,24.629999,28.309999,22.9,23.379999,903942500,23.355675
MGLU3.SA,2020-12-01,23.65,25.66,22.6,24.950001,647052300,24.924044
MGLU3.SA,2021-01-01,24.950001,27.07,22.950001,25.27,662472300,25.27
MGLU3.SA,2021-02-01,25.68,26.450001,23.66,24.18,555656700,24.18
MGLU3.SA,2021-03-01,24.559999,25.700001,19.4,20.24,1066851200,20.24
MGLU3.SA,2021-04-01,20.280001,22.52,19.870001,20.030001,546035200,20.030001
MGLU3.SA,2021-05-01,20.110001,20.66,18.25,20.16,457466900,20.16
VVAR3.SA,2012-05-01,5,5.5,4.75,4.75,444000,4.440083
VVAR3.SA,2012-06-01,4.75,4.75,4.5,4.5,1222400,4.206394
VVAR3.SA,2012-07-01,4.5,4.55,4.0025,4.55,2800,4.253131
VVAR3.SA,2012-08-01,4.55,4.825,4.53,4.825,1200,4.510189
VVAR3.SA,2012-09-01,4.45,4.525,4.45,4.5,2400,4.206394
VVAR3.SA,2012-10-01,4.5,4.5,4.25,4.25,182800,3.972705
VVAR3.SA,2012-11-01,4.25,4.5025,4.125,4.5,108000,4.206394
VVAR3.SA,2012-12-01,4.5,4.5025,4.5,4.5,99600,4.206394
VVAR3.SA,2013-01-01,4.5,4.5,4.5,4.5,26000,4.206394
VVAR3.SA,2013-02-01,4.5,5.625,4.5,5.625,123200,5.257993
VVAR3.SA,2013-03-01,5.625,5.875,5.625,5.75,12000,5.374836
VVAR3.SA,2013-04-01,5.75,6,5.75,5.9,260000,5.515049
VVAR3.SA,2013-05-01,5.9,6.75,5.5,6.625,41200,6.196579
VVAR3.SA,2013-06-01,6.625,6.625,5.775,5.775,22400,5.401546
VVAR3.SA,2013-07-01,5.775,5.7775,5.25,5.7775,179200,5.403885
VVAR3.SA,2013-08-01,5.7775,6,5.75,6,13200,5.611996
VVAR3.SA,2013-09-01,6,6.25,5.75,6,14800,5.611996
VVAR3.SA,2013-10-01,6,7.5,6,7.5,42000,7.217156
VVAR3.SA,2013-11-01,7.5,9,7.4975,8.97,60600,8.63172
VVAR3.SA,2013-12-01,8.97,10.19,7.51,7.51,30000,7.22678
